Year,Primary,Secondary,Chimney
2004-05,15150,27547,1474
2005-06,15125,31554,1696
2006-07,14757,32397,1430
2007-08,13618,30385,1633
2008-09,13174,25651,1745
2009-10,14018,22981,1738
2010-11,13198,24207,1565
2011-12,12414,18681,1243
2012-13,11093,14278,1375
2013-14,10539,16360,1093
2014-15,10643,13406,977
2015-16,11013,14732,883
2016-17p,10895,15635,710
-META-,,,
YAXISTITLE,Number of fire incidents,,
BARS,TRUE,,
STACKED,TRUE,,
LEFTPADDING,60,,
