,2012,2014,2016
P4,56.3,59.2,60.4
P7,58.3,65.9,67.2
S2,45.6,51.8,49.4
-META-,,,
YAXISTITLE,% performing well or better in listening and talking,,
BARS,TRUE,,
XROTATE,0,,
