,Scotland,OECD
2006,515,498.1
2009,514,500.6
2012,513,501.2
2015,497,493.2
2018,490,488.7
-META-,,
YAXISTITLE,PISA score – Science,
SYMBOLS,TRUE,
YMIN,400,
YMAX,540,
