Academic Year,Enrolments,Headcount,FTE
2005-06,446619,350410,116298
2006-07,468155,363597,120808
2007-08,489610,379233,122641
2008-09,483472,374986,123031
2009-10,438522,347336,124670
2010-11,383005,305969,124650
2011-12,320646,257913,122068
2012-13,297586,238805,119759
2013-14,299828,238399,120555
2014-15,297011,226919,121962
2015-16,281051,227258,121184
-META-,,,
YAXISTITLE,Number of FE and HE college students,,
SYMBOLS,TRUE,,
LEGENDY,70000,,
LEFTPADDING,70,,
