,2012,2014,2016
P4,83.4,78.1,77.0
P7,90.1,88.1,87.8
S2,83.8,80.1,82.3
-META-,,,
YAXISTITLE,% performing well or very well in reading,,
BARS,TRUE,,
XROTATE,0,,
