,Scotland,Rest of the UK
Social protection,4400.3,3992
Health,2341.9,2186
Education and training,1510.1,1312
Accounting adjustments,948.5,912
Public sector debt interest,601.2,600
Transport,585.3,439
Defence,564.9,563
Public order and safety,508.2,454
Everything else,1715.0,1151
-META-,,
YAXISTITLE,Total managed expenditure per person 2016-17 / £,
BOTTOMPADDING,100,
BARS,TRUE,
LEFTPADDING,40,
