,Scotland,UK
1998-99,9061,8187
1999-00,9358,8428
2000-01,9709,8744
2001-02,10326,9175
2002-03,10831,9643
2003-04,11506,10176
2004-05,11976,10724
2005-06,12381,11032
2006-07,12622,11147
2007-08,13039,11448
2008-09,13357,12095
2009-10,13604,12444
2010-11,13788,12506
2011-12,13574,12250
2012-13,13603,12186
2013-14,13235,11977
2014-15,13169,11960
2015-16,13121,11816
2016-17,13175,11739
-META-,,
YAXISTITLE,Total managed expenditure per person / £ (real 2016-17 prices),
SYMBOLS,TRUE,
LEFTPADDING,40,
