,Real,Illustrative
Education Services,4.95,0.00
Social Work Services,4.04,0.00
Non-HRA Housing,2.40,0.00
Police & fire (2012-13 value),0,1.65
Interest on debt,0.83,0.00
Environmental Services,0.82,0.00
Repayment of Debt,0.71,0.00
Culture and Related Services,0.69,0.00
Central Services,0.69,0.00
Roads and Transport,0.62,0.00
"Planning, development, trading",0.47,0.00
-META-,,
YAXISTITLE,Gross revenue expenditure / £ billion,
BARS,TRUE,
LEGEND,FALSE,
BOTTOMPADDING,150,
STACKED,TRUE,
