Year,DEL,AME & other,Outturn
2008-09,31.238,4.346,36.409
2009-10,32.813,6.118,37.815
2010-11,32.680,5.974,37.780
2011-12,30.368,6.085,36.414
2012-13,30.018,6.053,35.963
2013-14,29.804,5.903,35.966
2014-15,30.456,5.995,37.560
2015-16,31.096,7.290,37.862
2016-17,30.444,6.689,37.400
2017-18,31.008,6.454,
2018-19,31.872,7.558,
-META-,,,
YAXISTITLE,Expenditure real / £ billion (2016-17 prices),,
BARS,TRUE,,
STACKED,TRUE,,
USELINE,3,,
YMAX,40,,
BARLINECOLOUR,#579d1c,,
