Date,Reporting date,Specimen date
20-Nov-20,1018,864
21-Nov-20,887,763
22-Nov-20,844,706
23-Nov-20,949,1159
24-Nov-20,771,990
25-Nov-20,880,929
26-Nov-20,1225,802
27-Nov-20,969,736
28-Nov-20,788,572
29-Nov-20,746,553
30-Nov-20,368,973
01-Dec-20,754,923
02-Dec-20,951,945
03-Dec-20,958,806
04-Dec-20,966,639
05-Dec-20,777,659
06-Dec-20,643,639
07-Dec-20,677,919
08-Dec-20,692,914
09-Dec-20,897,220
-META-,,
XSCALETYPE,DATE,
XAXISTITLE,Date,
YAXISTITLE,Number of people testing positive,
LEFTPADDING,60,
BOTTOMPADDING,60,
LEGENDY,2300,
XGRID,TRUE,
