,Scotland,UK
1993,10.1,10.4
1994,9.6,9.5
1995,8.9,8.6
1996,8.7,8.1
1997,8.1,6.9
1998,7.6,6.2
1999,7.1,6.0
2000,6.8,5.4
2001,6.4,5.1
2002,6.3,5.2
2003,5.7,5.0
2004,5.7,4.8
2005,5.4,4.8
2006,5.3,5.4
2007,4.8,5.3
2008,4.7,5.7
2009,7.0,7.6
2010,8.2,7.9
2011,8.1,8.1
2012,8.0,8.0
2013,7.3,7.6
2014,6.0,6.2
2015,5.8,5.4
2016,5.2,4.9
-META-,,
YAXISTITLE,Unemployment rate %,
SYMBOLS,TRUE,
YMIN,4,
LEGENDY,9.75,
