,Scotland onshore,UK
2013Q1,0.04%,0.64%
2013Q2,0.74%,0.54%
2013Q3,0.40%,0.85%
2013Q4,0.71%,0.52%
2014Q1,0.40%,0.86%
2014Q2,1.02%,0.85%
2014Q3,0.80%,0.76%
2014Q4,0.70%,0.76%
2015Q1,0.65%,0.34%
2015Q2,0.14%,0.57%
2015Q3,-0.07%,0.42%
2015Q4,0.43%,0.73%
2016Q1,0.04%,0.16%
2016Q2,0.05%,0.53%
2016Q3,0.06%,0.38%
2016Q4,-0.24%,0.57%
2017Q1,0.57%,0.26%
2017Q2,0.14%,0.29%
-META-,,
YAXISTITLE,Real GDP growth on previous quarter in %,
BARS,TRUE,
