,Property (net),Financial (net),Physical,Pension
2006-2008 ,281,97,104,340
2008-2010 ,263,108,104,341
2010-2012 ,247,97,105,331
2012-2014 ,247,105,113,437
2014-2016 ,264,102,121,533
2016-2018 ,275,114,123,585
-META-,,,,
YAXISTITLE,Wealth / £ billion (real 2016-18 prices),,,
BARS,TRUE,,,
STACKED,TRUE,,,
YMAX,1000,,,
STACKEDLEGENDRIGHT,TRUE,,,
RIGHTPADDING,120,,,
LEFTPADDING,20,,,
BOTTOMPADDING,30,,,
