,Amount in 2016 / £ billion
Services,99.11
Manufacturing,13.21
Construction,9.24
Electricity and Gas Supply,3.20
Mining and Quarrying,2.22
"Agriculture, Forestry and Fishing",1.74
Water Supply and waste,1.69
Taxes less subsidies on products,18.27
-META-,
YAXISTITLE,Contribution to GDP in 2016 / £ billion
BARS,TRUE
BOTTOMPADDING,160
