,Scotland,UK
1993,67.1,68.4
1994,68.2,68.9
1995,68.5,69.6
1996,67.9,70.1
1997,68.7,71.0
1998,69.1,71.4
1999,69.4,72.0
2000,70.7,72.5
2001,71.2,72.6
2002,71.5,72.7
2003,72.3,72.8
2004,72.9,73.0
2005,73.1,72.9
2006,73.3,72.8
2007,74.5,72.7
2008,74.0,72.6
2009,72.1,70.9
2010,70.5,70.4
2011,71.2,70.3
2012,70.9,71.0
2013,72.3,71.6
2014,73.8,72.8
2015,74.4,73.7
2016,73.7,74.4
-META-,,
YAXISTITLE,Employment rate %,
SYMBOLS,TRUE,
YMIN,65,
LEGENDY,67,
