,Con,Lab,Lib,SNP,Other
1999,15.6%,38.8%,14.2%,28.7%,2.7%
2003,16.6%,34.6%,15.4%,23.8%,9.6%
2007,16.6%,32.1%,16.2%,32.9%,2.3%
2011,13.9%,31.7%,7.9%,45.4%,1.1%
2016,22.0%,22.6%,7.8%,46.5%,1.1%
-META-,,,,,
YAXISTITLE,Vote share - Scottish Parliament constituency %,,,,
SYMBOLS,TRUE,,,,
LEGENDX,2003,,,,
LEGENDY,48,,,,
YMAX,50,,,,
