,rUK,rEU,rWorld
2002,31.7%,12.7%,10.0%
2003,32.3%,11.2%,9.3%
2004,36.1%,9.7%,9.2%
2005,31.5%,8.4%,8.9%
2006,31.9%,8.4%,8.7%
2007,34.8%,8.3%,9.0%
2008,34.2%,9.0%,9.2%
2009,34.7%,8.8%,9.7%
2010,36.4%,8.8%,10.9%
2011,35.3%,10.4%,11.0%
2012,34.8%,9.7%,11.6%
2013,34.2%,9.6%,11.9%
2014,32.8%,8.5%,11.6%
2015,34.4%,9.0%,11.6%
2016,31.1%,8.9%,11.6%
2017,31.7%,9.8%,11.0%
2018,31.2%,9.9%,10.8%
-META-,,,
YAXISTITLE,Exports as % of Scotland’s onshore GDP,,
SYMBOLS,TRUE,,
LEGENDY,27,,
