,nominal GDP,real GDP (2019 prices)
1998,78.00,126.09
1999,78.94,127.63
2000,82.65,131.96
2001,86.64,134.85
2002,90.39,137.90
2003,95.86,142.47
2004,101.61,145.48
2005,108.54,148.14
2006,114.39,152.67
2007,119.85,153.35
2008,123.88,154.45
2009,123.50,150.73
2010,123.76,152.17
2011,128.23,153.29
2012,132.53,153.74
2013,139.18,156.87
2014,145.82,160.13
2015,146.77,160.94
2016,151.23,162.30
2017,157.40,164.14
2018,163.89,166.90
2019,168.14,168.14
-META-,,
YAXISTITLE,GDP / £ billion,
BARS,TRUE,
