,Scotland,UK
1993,74.7,76.4
1994,75.4,76.2
1995,75.2,76.2
1996,74.4,76.3
1997,74.8,76.4
1998,74.8,76.3
1999,74.8,76.7
2000,75.9,76.7
2001,76.2,76.6
2002,76.4,76.7
2003,76.7,76.6
2004,77.3,76.7
2005,77.3,76.7
2006,77.4,77.1
2007,78.3,76.8
2008,77.7,77.1
2009,77.6,76.8
2010,76.9,76.6
2011,77.5,76.7
2012,77.2,77.2
2013,78.2,77.6
2014,78.5,77.8
2015,79.1,78.0
2016,77.8,78.3
2017,78.0,78.6
2018,78.2,78.9
2019,77.9,79.3
-META-,,
YAXISTITLE,Economic activity rate %,
SYMBOLS,TRUE,
YMIN,74,
LEGENDY,75,
