,Scotland,OECD
2000,526,500
2003,516,494
2006,499,492
2009,500,493
2012,506,496
2015,493,493
-META-,,
YAXISTITLE,PISA score – Reading,
SYMBOLS,TRUE,
YMIN,400,
YMAX,540,
