,2012,2014,2016
P4,64.4,64.3,62.1
P7,71.7,67.5,64.5
S2,63.8,54.8,49.1
-META-,,,
YAXISTITLE,% performing well or better in writing,,
BARS,TRUE,,
XROTATE,0,,
