,Total excluding police & fire,Police & fire
2009-10,18.5,1.96
2010-11,18.2,1.87
2011-12,17.7,1.78
2012-13,17.5,1.79
2013-14,17.5,0.00
2014-15,17.3,0.00
2015-16,17.6,0.00
2016-17,17.1,0.00
2017-18,17.1,0.00
2018-19,17.2,0.00
-META-,,
YAXISTITLE,Gross revenue expenditure by councils / £ billion (real 2019-20 prices),
BARS,TRUE,
STACKED,TRUE,
