,1999,2016
London,31407,36170
South East,26169,29700
England,25055,28496
United Kingdom,24865,28195
Scotland,23623,27925
East,25140,27892
South West,23362,26372
West Midlands,23743,26352
North West,23711,26220
Northern Ireland,22065,25978
Yorkshire & The Humber,23083,25946
North East,22741,25561
East Midlands,22894,25474
Wales,22985,25440
-META-,,
YAXISTITLE,Median annual gross earnings / £ (real 2016 prices),
BARS,TRUE,
BOTTOMPADDING,100,
LEFTPADDING,50,

