,Internet user,Does not use
16-24,99,1
25-34,98,2
35-44,98,2
45-59,94,6
60-74,78,22
75+,43,57
-META-,,
YAXISTITLE,Percentage,
BARS,TRUE,
STACKED,TRUE,
STACKEDLEGENDRIGHT,TRUE,
RIGHTPADDING,100,
